
---------- Begin Simulation Statistics ----------
final_tick                               118204828672                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 270644                       # Simulator instruction rate (inst/s)
host_mem_usage                                8595016                       # Number of bytes of host memory used
host_op_rate                                   323729                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   964.82                       # Real time elapsed on the host
host_tick_rate                              122514698                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   261123586                       # Number of instructions simulated
sim_ops                                     312340919                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.118205                       # Number of seconds simulated
sim_ticks                                118204828672                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  62626221                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 61925989                       # number of cc regfile writes
system.cpu.committedInsts                   261123586                       # Number of Instructions Simulated
system.cpu.committedOps                     312340919                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.951004                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.951004                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                         7220553                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1872519                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 33205039                       # Number of branches executed
system.cpu.iew.exec_nop                        244239                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.316001                       # Inst execution rate
system.cpu.iew.exec_refs                    105343722                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   37282887                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 8089588                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              67822985                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts             177305                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             38642653                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           335652048                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              68060835                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           4173709                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             326801785                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 535603                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 60249                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1808759                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                751576                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          22480                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1044370                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         828149                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 304470639                       # num instructions consuming a value
system.cpu.iew.wb_count                     322478486                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.639239                       # average fanout of values written-back
system.cpu.iew.wb_producers                 194629444                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.298591                       # insts written-back per cycle
system.cpu.iew.wb_sent                      322836204                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                359559379                       # number of integer regfile reads
system.cpu.int_regfile_writes               212814378                       # number of integer regfile writes
system.cpu.ipc                               1.051521                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.051521                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     67.73% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             69218483     20.91%     88.64% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            37592157     11.36%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              330975494                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                       0                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads                   0                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses            0                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes                  0                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                    30088583                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.090909                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 6262205     20.81%     20.81% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                 359942      1.20%     22.01% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                   15848      0.05%     22.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     22.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     22.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     22.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     22.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     22.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     22.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                  860      0.00%     22.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     22.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                1984170      6.59%     28.66% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc              981669      3.26%     31.92% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                 728038      2.42%     34.34% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                 260506      0.87%     35.21% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                      0      0.00%     35.21% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                956612      3.18%     38.39% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                 73674      0.24%     38.63% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc             487566      1.62%     40.25% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift               243581      0.81%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     41.06% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                 661343      2.20%     43.26% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite              17072569     56.74%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite                0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses              296716889                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads          813388790                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses    267371117                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes         300106395                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                  335230503                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                 330975494                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded              177306                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined        23066889                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued            190793                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved           1164                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined     19248809                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples     241108920                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         1.372722                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        1.291742                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0            81596425     33.84%     33.84% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1            57214577     23.73%     57.57% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2            51841323     21.50%     79.07% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3            34955227     14.50%     93.57% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::4            12578100      5.22%     98.79% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::5             2648727      1.10%     99.89% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::6              266120      0.11%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::7                7533      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::8                 888      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::overflows            0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::min_value            0                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::max_value            8                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::total       241108920                       # Number of insts issued each cycle
system.cpu.iq.rate                           1.332808                       # Inst issue rate
system.cpu.iq.vec_alu_accesses               59682839                       # Number of vector alu accesses
system.cpu.iq.vec_inst_queue_reads          119950494                       # Number of vector instruction queue reads
system.cpu.iq.vec_inst_queue_wakeup_accesses     55107369                       # Number of vector instruction queue wakeup accesses
system.cpu.iq.vec_inst_queue_writes          58390739                       # Number of vector instruction queue writes
system.cpu.l2bus.snoop_filter.hit_multi_requests          241                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.cpu.l2bus.snoop_filter.hit_multi_snoops           35                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.cpu.l2bus.snoop_filter.hit_single_requests      2294479                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.cpu.l2bus.snoop_filter.hit_single_snoops       685091                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.cpu.l2bus.snoop_filter.tot_requests      4334275                       # Total number of requests made to the snoop filter.
system.cpu.l2bus.snoop_filter.tot_snoops       685126                       # Total number of snoops made to the snoop filter.
system.cpu.memDep0.conflictingLoads           1278675                       # Number of conflicting loads.
system.cpu.memDep0.conflictingStores          2316461                       # Number of conflicting stores.
system.cpu.memDep0.insertedLoads             67822985                       # Number of loads inserted to the mem dependence unit.
system.cpu.memDep0.insertedStores            38642653                       # Number of stores inserted to the mem dependence unit.
system.cpu.misc_regfile_reads               793807817                       # number of misc regfile reads
system.cpu.misc_regfile_writes                2812182                       # number of misc regfile writes
system.cpu.numCycles                        248329473                       # number of cpu cycles simulated
system.cpu.numWorkItemsCompleted                    0                       # number of work items this cpu completed
system.cpu.numWorkItemsStarted                      0                       # number of work items this cpu started
system.cpu.timesIdled                          323359                       # Number of times that the entire CPU went into an idle state and unscheduled itself
system.cpu.vec_regfile_reads                118620853                       # number of vector regfile reads
system.cpu.vec_regfile_writes                62902725                       # number of vector regfile writes
system.cpu.workload.numSyscalls                  3252                       # Number of system calls
system.membus.snoop_filter.hit_multi_requests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_single_requests        54473                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.hit_single_snoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.tot_requests        140294                       # Total number of requests made to the snoop filter.
system.membus.snoop_filter.tot_snoops               0                       # Total number of snoops made to the snoop filter.
system.clk_domain.clock                           476                       # Clock period in ticks
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts
system.cpu.branchPred.lookups                37676685                       # Number of BP lookups
system.cpu.branchPred.condPredicted          27556027                       # Number of conditional branches predicted
system.cpu.branchPred.condIncorrect           1821486                       # Number of conditional branches incorrect
system.cpu.branchPred.BTBLookups             17610145                       # Number of BTB lookups
system.cpu.branchPred.BTBHits                17369926                       # Number of BTB hits
system.cpu.branchPred.BTBHitPct             98.635906                       # BTB Hit Percentage
system.cpu.branchPred.RASUsed                 2653111                       # Number of times the RAS was used to get a target.
system.cpu.branchPred.RASIncorrect                762                       # Number of incorrect RAS predictions.
system.cpu.branchPred.indirectLookups         1080612                       # Number of indirect predictor lookups.
system.cpu.branchPred.indirectHits             828298                       # Number of indirect target hits.
system.cpu.branchPred.indirectMisses           252314                       # Number of indirect misses.
system.cpu.branchPred.indirectMispredicted       185918                       # Number of mispredicted indirect branches.
system.cpu.commit.commitSquashedInsts        20815804                       # The number of squashed insts skipped by commit
system.cpu.commit.commitNonSpecStalls          176142                       # The number of times commit has been forced to stall to communicate backwards
system.cpu.commit.branchMispredicts           1783411                       # The number of times a branch was mispredicted
system.cpu.commit.numCommittedDist::samples    237610621                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::mean     1.315482                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::stdev     1.582327                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::0       115791216     48.73%     48.73% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::1        39575080     16.66%     65.39% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::2        21238965      8.94%     74.33% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::3        13501865      5.68%     80.01% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::4        47503495     19.99%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::max_value            4                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::total    237610621                       # Number of insts commited each cycle
system.cpu.commit.instsCommitted            261355252                       # Number of instructions committed
system.cpu.commit.opsCommitted              312572585                       # Number of ops (including micro ops) committed
system.cpu.commit.memRefs                    98809553                       # Number of memory references committed
system.cpu.commit.loads                      62331783                       # Number of loads committed
system.cpu.commit.amos                              0                       # Number of atomic instructions committed
system.cpu.commit.membars                      172889                       # Number of memory barriers committed
system.cpu.commit.branches                   31807263                       # Number of branches committed
system.cpu.commit.vector                     54636285                       # Number of committed Vector instructions.
system.cpu.commit.floating                          0                       # Number of committed floating point instructions.
system.cpu.commit.integer                   252033072                       # Number of committed integer instructions.
system.cpu.commit.functionCalls               2271524                       # Number of function calls committed.
system.cpu.commit.committedInstType_0::No_OpClass      4622819      1.48%      1.48% # Class of committed instruction
system.cpu.commit.committedInstType_0::IntAlu    169455971     54.21%     55.69% # Class of committed instruction
system.cpu.commit.committedInstType_0::IntMult      1797855      0.58%     56.27% # Class of committed instruction
system.cpu.commit.committedInstType_0::IntDiv        91417      0.03%     56.30% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatAdd          604      0.00%     56.30% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatCmp            4      0.00%     56.30% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatCvt          605      0.00%     56.30% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     56.30% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     56.30% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatDiv          606      0.00%     56.30% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMisc         6515      0.00%     56.30% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     56.30% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAdd     15769919      5.05%     61.34% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAddAcc      3381077      1.08%     62.43% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAlu      5207849      1.67%     64.09% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdCmp      1592821      0.51%     64.60% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdCvt            1      0.00%     64.60% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdMisc      4483099      1.43%     66.04% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdMult       408442      0.13%     66.17% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdMultAcc      2870682      0.92%     67.09% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdShift      4072746      1.30%     68.39% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     68.39% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     68.39% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     68.39% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     68.39% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     68.39% # Class of committed instruction
